------------------------------------------------------------
Server listening on UDP port 8080
UDP buffer size: 212992 Byte (default)
------------------------------------------------------------
[ *1] local 10.0.100.12%eth0 port 8080 connected with 10.0.100.2 port 58602 (reverse) (no-udp-fin) (trip-times) (sock=3) (peer 2.1.1-dev) on 2021-05-25 20:02:33 (UTC)
[ ID] Interval        Transfer     Bandwidth      Write/Err  PPS
[ *1] 118.00-119.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 119.00-120.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 120.00-121.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 121.00-122.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 122.00-123.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 123.00-124.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 124.00-125.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 125.00-126.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 126.00-127.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 127.00-128.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 128.00-129.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 129.00-130.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 130.00-131.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 131.00-132.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 132.00-133.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 133.00-134.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 134.00-135.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 135.00-136.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 136.00-137.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 137.00-138.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 138.00-139.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 139.00-140.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 140.00-141.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 141.00-142.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 142.00-143.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 143.00-144.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 144.00-145.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 145.00-146.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 146.00-147.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 147.00-148.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 148.00-149.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 149.00-150.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 150.00-151.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 151.00-152.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 152.00-153.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 153.00-154.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 154.00-155.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 155.00-156.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 156.00-157.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 157.00-158.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 158.00-159.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 159.00-160.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 160.00-161.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 161.00-162.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 162.00-163.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 163.00-164.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 164.00-165.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 165.00-166.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 166.00-167.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 167.00-168.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 168.00-169.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 169.00-170.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 170.00-171.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 171.00-172.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 172.00-173.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 173.00-174.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 174.00-175.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 175.00-176.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 176.00-177.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 177.00-178.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 178.00-179.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 179.00-180.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 180.00-181.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 181.00-182.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 182.00-183.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 183.00-184.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 184.00-185.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 185.00-186.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 186.00-187.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 187.00-188.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 188.00-189.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 189.00-190.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 190.00-191.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 191.00-192.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 192.00-193.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 193.00-194.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 194.00-195.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 195.00-196.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 196.00-197.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 197.00-198.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 198.00-199.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 199.00-200.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 200.00-201.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 201.00-202.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 202.00-203.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 203.00-204.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 204.00-205.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 205.00-206.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 206.00-207.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 207.00-208.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 208.00-209.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 209.00-210.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 210.00-211.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 211.00-212.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 212.00-213.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 213.00-214.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 214.00-215.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 215.00-216.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 216.00-217.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 217.00-218.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 218.00-219.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 219.00-220.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 220.00-221.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 221.00-222.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 222.00-223.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 223.00-224.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 224.00-225.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 225.00-226.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 226.00-227.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 227.00-228.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 228.00-229.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 229.00-230.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 230.00-231.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 231.00-232.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 232.00-233.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 233.00-234.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 234.00-235.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 235.00-236.00 sec  392000 Bytes  3136000 bits/sec  280/0      281 pps
[ *1] 236.00-237.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 237.00-238.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 238.00-239.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 239.00-240.00 sec  393400 Bytes  3147200 bits/sec  281/0      281 pps
[ *1] 0.00-240.01 sec  94376800 Bytes  3145819 bits/sec  67413/0      281 pps
[  1] Sent 67413 datagrams
